,Concurso,Jogo,HG,Home,S,Away,AG,Dia,Res,HRG,ARG
0,Concurso 1 (18/02/2002),1,2,FLAMENGO/RJ, ,S. PAULO/SP,4,Domingo ,A,0,0
1,Concurso 1 (18/02/2002),2,3,VASCO/RJ, ,AMERICANO/RJ,0,Domingo ,H,0,0
2,Concurso 1 (18/02/2002),3,2,SANTOS/SP, ,SÃO CAETANO/SP,1,Domingo ,H,0,0
3,Concurso 1 (18/02/2002),4,1,P. DESPORTOS/SP, ,CORINTHIANS/SP,4,Domingo ,A,0,0
4,Concurso 1 (18/02/2002),5,7,CRUZEIRO/MG, ,AMÉRICA/MG,0,Sábado ,H,0,0
5,Concurso 1 (18/02/2002),6,1,JUVENTUDE/RS, ,ATLÉTICO/MG,2,Domingo ,A,0,0
6,Concurso 1 (18/02/2002),7,2,CORITIBA/PR, ,FIGUEIRENSE/SC,2,Domingo ,D,0,0
7,Concurso 1 (18/02/2002),8,2,CRICIÚMA/SC, ,ATLÉTICO/PR,1,Sábado ,H,0,0
8,Concurso 1 (18/02/2002),9,1,GRÊMIO/RS, ,JOINVILLE/SC,1,Sábado ,D,0,0
9,Concurso 1 (18/02/2002),10,2,BAHIA/BA, ,SANTA CRUZ/PE,0,Domingo ,H,0,0
10,Concurso 1 (18/02/2002),11,2,NÁUTICO/PE, ,VITÓRIA/BA,1,Domingo ,H,0,0
11,Concurso 1 (18/02/2002),12,1,BANGU/RJ, ,PALMEIRAS/SP,3,Sábado ,A,0,0
12,Concurso 1 (18/02/2002),13,3,ETTI JUNDIAÍ/SP, ,FLUMINENSE/RJ,0,Sábado ,H,0,0
13,Concurso 1 (18/02/2002),14,2,PONTE PRETA/SP, ,BOTAFOGO/RJ,0,Domingo ,H,0,0
14,Concurso 2 (25/02/2002),1,1,ATLÉTICO/MG, ,CRUZEIRO/MG,1,Sábado ,D,0,0
15,Concurso 2 (25/02/2002),2,2,ATLÉTICO/PR, ,CORITIBA/PR,0,Domingo ,H,0,0
16,Concurso 2 (25/02/2002),3,5,VITÓRIA/BA, ,SPORT/PE,0,Domingo ,H,0,0
17,Concurso 2 (25/02/2002),4,3,SÃO CAETANO/SP, ,VASCO DA GAMA/RJ,0,Domingo ,H,0,0
18,Concurso 2 (25/02/2002),5,2,SANTOS/SP, ,FLAMENGO/RJ,0,Domingo ,H,2,0
19,Concurso 2 (25/02/2002),6,1,AMÉRICA/MG, ,GRÊMIO/RS,1,Domingo ,D,0,0
20,Concurso 2 (25/02/2002),7,2,INTERNACIONAL/RS, ,TUBARÃO/SC,0,Domingo ,H,0,0
21,Concurso 2 (25/02/2002),8,0,BRASILIENSE/DF, ,GOIÁS/GO,1,Sábado ,A,0,0
22,Concurso 2 (25/02/2002),9,3,CORINTHIANS/SP, ,BANGU/RJ,1,Sábado ,H,0,0
23,Concurso 2 (25/02/2002),10,4,PALMEIRAS/SP, ,AMÉRICA/RJ,3,Domingo ,H,0,0
24,Concurso 2 (25/02/2002),11,2,GUARANI/SP, ,AMERICANO/RJ,0,Domingo ,H,0,0
25,Concurso 2 (25/02/2002),12,5,BOTAFOGO/RJ, ,ETTI JUNDIAÍ/SP,1,Domingo ,H,0,0
26,Concurso 2 (25/02/2002),13,3,FLUMINENSE/RJ, ,P. DESPORTOS/SP,4,Sábado ,A,0,0
27,Concurso 2 (25/02/2002),14,4,SÃO PAULO/SP, ,PONTE PRETA/SP,1,Domingo ,H,0,0
28,Concurso 3 (04/03/2002),1,4,FLAMENGO/RJ, ,CORINTHIANS/SP,3,Domingo ,H,2,4
29,Concurso 3 (04/03/2002),2,1,SPORT RECIFE/PE, ,SANTA CRUZ/PE,2,Domingo ,A,0,0
30,Concurso 3 (04/03/2002),3,1,FORTALEZA/CE, ,CEARÁ/CE,1,Sábado ,D,0,0
31,Concurso 3 (04/03/2002),4,3,PARANÁ/PR, ,INTERNACIONAL/RS,2,Domingo ,H,0,0
32,Concurso 3 (04/03/2002),5,3,PALMEIRAS/SP, ,FLUMINENSE/RJ,2,Domingo ,H,4,0
33,Concurso 3 (04/03/2002),6,4,VASCO DA GAMA/RJ, ,P. DESPORTOS/SP,1,Sábado ,H,0,4
34,Concurso 3 (04/03/2002),7,4,SÃO PAULO/SP, ,AMÉRICA/RJ,1,Domingo ,H,4,3
35,Concurso 3 (04/03/2002),8,2,PONTE PRETA/SP, ,SÃO CAETANO/SP,3,Sábado ,A,2,1
36,Concurso 3 (04/03/2002),9,1,BANGU/RJ, ,BOTAFOGO/RJ,1,Domingo ,D,1,0
37,Concurso 3 (04/03/2002),10,3,AMERICANO/RJ, ,SANTOS/SP,2,Sábado ,H,0,0
38,Concurso 3 (04/03/2002),11,9,GOIÁS/GO, ,SERRA/ES,0,Sábado ,H,0,0
39,Concurso 3 (04/03/2002),12,1,ATLÉTICO/PR, ,JOINVILLE/SC,1,Domingo ,D,2,1
40,Concurso 3 (04/03/2002),13,2,CRUZEIRO/MG, ,MALUTROM/PR,0,Sábado ,H,7,0
41,Concurso 3 (04/03/2002),14,2,GRÊMIO/RS, ,PELOTAS/RS,1,Domingo ,H,1,0
42,Concurso 4 (11/03/2002),1,3,VASCO DA GAMA/RJ, ,FLAMENGO/RJ,1,Domingo ,H,4,0
43,Concurso 4 (11/03/2002),2,3,VITÓRIA/BA, ,BAHIA/BA,0,Domingo ,H,5,0
44,Concurso 4 (11/03/2002),3,2,FLUMINENSE/RJ, ,BANGU/RJ,1,Sábado ,H,3,1
45,Concurso 4 (11/03/2002),4,1,GUARANI/SP, ,CORINTHIANS/SP,1,Domingo ,D,2,7
46,Concurso 4 (11/03/2002),5,3,SANTOS/SP, ,BOTAFOGO/RJ,3,Domingo ,D,4,1
47,Concurso 4 (11/03/2002),6,0,PORTUGUESA DESPORTOS/SP, ,SÃO PAULO/SP,4,Domingo ,A,0,0
48,Concurso 4 (11/03/2002),7,0,AMERICANO/RJ, ,PALMEIRAS/SP,2,Sábado ,A,3,3
49,Concurso 4 (11/03/2002),8,2,SERRA/ES, ,GOIÁS/GO,3,Sábado ,A,0,1
50,Concurso 4 (11/03/2002),9,4,FORTALEZA/CE, ,SPORT RECIFE/PE,3,Domingo ,H,1,0
51,Concurso 4 (11/03/2002),10,1,ATLÉTICO/MG, ,MAMORÉ/MG,0,Sábado ,H,1,0
52,Concurso 4 (11/03/2002),11,2,PELOTAS/RS, ,PARANÁ/PR,1,Domingo ,H,0,0
53,Concurso 4 (11/03/2002),12,3,CRICIÚMA/SC, ,GRÊMIO/RS,4,Sábado ,A,2,1
54,Concurso 4 (11/03/2002),13,0,FIGUEIRENSE/SC, ,CRUZEIRO/MG,1,Domingo ,A,0,1
55,Concurso 4 (11/03/2002),14,3,INTERNACIONAL/RS, ,JUVENTUDE/RS,1,Sábado ,H,2,0
56,Concurso 5 (18/03/2002),1,1,FLUMINENSE/RJ, ,SANTOS/SP,1,Sábado ,D,5,2
57,Concurso 5 (18/03/2002),2,3,FLAMENGO/RJ, ,AMÉRICA/RJ,0,Domingo ,H,6,4
58,Concurso 5 (18/03/2002),3,1,GUARANI/SP, ,VASCO DA GAMA/RJ,1,Domingo ,D,3,0
59,Concurso 5 (18/03/2002),4,3,AMÉRICA/MG, ,ATLÉTICO/MG,4,Sábado ,A,1,2
60,Concurso 5 (18/03/2002),5,3,CORINTHIANS/SP, ,PONTE PRETA/SP,1,Sábado ,H,3,1
61,Concurso 5 (18/03/2002),6,7,SÃO PAULO/SP, ,BANGU/RJ,0,Domingo ,H,8,2
62,Concurso 5 (18/03/2002),7,3,PALMEIRAS/SP, ,P. DESPORTOS/SP,3,Domingo ,D,7,5
63,Concurso 5 (18/03/2002),8,2,BOTAFOGO/RJ, ,SÃO CAETANO/SP,1,Domingo ,H,5,4
64,Concurso 5 (18/03/2002),9,2,SPORT RECIFE/PE, ,CRB/AL,2,Domingo ,D,1,0
65,Concurso 5 (18/03/2002),10,0,GAMA/DF, ,VILA NOVA/GO,0,Sábado ,D,0,0
66,Concurso 5 (18/03/2002),11,1,CRUZEIRO/MG, ,CRICIÚMA/SC,2,Domingo ,A,9,0
67,Concurso 5 (18/03/2002),12,1,JOINVILLE/SC, ,INTERNACIONAL/RS,0,Domingo ,H,0,2
68,Concurso 5 (18/03/2002),13,0,PARANÁ/PR, ,MALUTROM/PR,2,Domingo ,A,3,0
69,Concurso 5 (18/03/2002),14,3,GRÊMIO/RS, ,FIGUEIRENSE/SC,4,Sábado ,A,3,2
70,Concurso 6 (25/03/2002),1,1,VASCO DA GAMA/RJ, ,FLUMINENSE/RJ,3,Domingo ,A,7,2
71,Concurso 6 (25/03/2002),2,3,CORINTHIANS/SP, ,BOTAFOGO/RJ,1,Domingo ,H,6,4
72,Concurso 6 (25/03/2002),3,1,GOIÁS/GO, ,VILA NOVA/GO,1,Sábado ,D,9,0
73,Concurso 6 (25/03/2002),4,3,PONTE PRETA/SP, ,FLAMENGO/RJ,3,Sábado ,D,4,1
74,Concurso 6 (25/03/2002),5,2,CRUZEIRO/MG, ,GRÊMIO/RS,0,Domingo ,H,10,5
75,Concurso 6 (25/03/2002),6,2,INTERNACIONAL/RS, ,ATLÉTICO/PR,3,Sábado ,A,5,1
76,Concurso 6 (25/03/2002),7,1,CORITIBA/PR, ,ATLÉTICO/MG,3,Domingo ,A,2,6
77,Concurso 6 (25/03/2002),8,0,BRASILIENSE/DF, ,GAMA/DF,1,Sábado ,A,0,0
78,Concurso 6 (25/03/2002),9,3,VITÓRIA/BA, ,CRB/AL,2,Domingo ,H,8,2
79,Concurso 6 (25/03/2002),10,2,FORTALEZA/CE, ,NÁUTICO/PE,2,Domingo ,D,5,0
80,Concurso 6 (25/03/2002),11,2,AMÉRICA/RJ, ,BANGU/RJ,2,Domingo ,D,0,2
81,Concurso 6 (25/03/2002),12,1,AMERICANO/RJ, ,P. DESPORTOS/SP,2,Domingo ,A,3,8
82,Concurso 6 (25/03/2002),13,2,SANTOS/SP, ,GUARANI/SP,0,Domingo ,H,7,0
83,Concurso 6 (25/03/2002),14,1,SÃO CAETANO/SP, ,SÃO PAULO/SP,0,Domingo ,H,3,4
84,Concurso 7 (01/04/2002),1,3,CORINTHIANS/SP, ,SÃO PAULO/SP,1,Domingo ,H,9,4
85,Concurso 7 (01/04/2002),2,3,PALMEIRAS/SP, ,GUARANI/SP,2,Sábado ,H,10,0
86,Concurso 7 (01/04/2002),3,1,SANTA CRUZ/PE, ,NÁUTICO/PE,1,Sábado ,D,0,2
87,Concurso 7 (01/04/2002),4,0,BOTAFOGO/RJ, ,AMÉRICA/RJ,1,Domingo ,A,7,4
88,Concurso 7 (01/04/2002),5,1,VASCO DA GAMA/RJ, ,SANTOS/SP,1,Sábado ,D,8,3
89,Concurso 7 (01/04/2002),6,1,FLAMENGO/RJ, ,SÃO CAETANO/SP,2,Domingo ,A,9,5
90,Concurso 7 (01/04/2002),7,2,FLUMINENSE/RJ, ,AMERICANO/RJ,0,Sábado ,H,6,0
91,Concurso 7 (01/04/2002),8,1,BANGU/RJ, ,PONTE PRETA/SP,1,Sábado ,D,2,2
92,Concurso 7 (01/04/2002),9,3,BAHIA/BA, ,FORTALEZA/CE,2,Domingo ,H,2,0
93,Concurso 7 (01/04/2002),10,1,BOTAFOGO/PB, ,CRB/AL,4,Domingo ,A,0,4
94,Concurso 7 (01/04/2002),11,4,GAMA/DF, ,GOIÁS/GO,0,Domingo ,H,0,4
95,Concurso 7 (01/04/2002),12,2,PELOTAS/RS, ,CRUZEIRO/MG,3,Domingo ,A,2,2
96,Concurso 7 (01/04/2002),13,4,GRÊMIO/RS, ,CORITIBA/PR,3,Domingo ,H,6,0
97,Concurso 7 (01/04/2002),14,3,ATLÉTICO/MG, ,INTERNACIONAL/RS,1,Domingo ,H,2,2
98,Concurso 8 (08/04/2002),1,2,FLUMINENSE/RJ, ,FLAMENGO/RJ,1,Domingo ,H,8,4
99,Concurso 8 (08/04/2002),2,0,PALMEIRAS/SP, ,CORINTHIANS/SP,0,Domingo ,D,13,8
100,Concurso 8 (08/04/2002),3,5,VASCO DA GAMA/RJ, ,BANGU/RJ,1,Domingo ,H,9,4
101,Concurso 8 (08/04/2002),4,1,PORTUGUESA DESPORTOS/SP, ,BOTAFOGO/RJ,3,Domingo ,A,0,5
102,Concurso 8 (08/04/2002),5,3,SANTOS/SP, ,SÃO PAULO/SP,2,Domingo ,H,9,5
103,Concurso 8 (08/04/2002),6,1,GUARANI/SP, ,PONTE PRETA/SP,1,Sábado ,D,4,3
104,Concurso 8 (08/04/2002),7,3,VITÓRIA/BA, ,FLUMINENSE/BA,0,Sábado ,H,11,0
105,Concurso 8 (08/04/2002),8,1,FORTALEZA/CE, ,SANTA CRUZ/PE,0,Domingo ,H,7,2
106,Concurso 8 (08/04/2002),9,2,GOIÁS/GO, ,PALMAS/TO,1,Sábado ,H,10,0
107,Concurso 8 (08/04/2002),10,2,TUBARÃO/SC, ,FIGUEIRENSE/SC,0,Domingo ,H,0,6
108,Concurso 8 (08/04/2002),11,2,ATLÉTICO/MG, ,PELOTAS/RS,2,Sábado ,D,5,1
109,Concurso 8 (08/04/2002),12,3,INTER/RS, ,CRICIÚMA/SC,1,Domingo ,H,0,2
110,Concurso 8 (08/04/2002),13,2,ATLÉTICO/PR, ,GRÊMIO/RS,2,Domingo ,D,3,5
111,Concurso 8 (08/04/2002),14,6,PARANÁ/PR, ,CORITIBA/PR,1,Sábado ,H,3,3
112,Concurso 9 (18/04/2002),1,1,PORTUGAL, ,BRASIL,1,Quarta-feira ,D,0,0
113,Concurso 9 (18/04/2002),2,0,ALEMANHA, ,ARGENTINA,1,Quarta-feira ,A,0,0
114,Concurso 9 (18/04/2002),3,1,ITÁLIA, ,URUGUAI,1,Quarta-feira ,D,0,0
115,Concurso 9 (18/04/2002),4,1,BOTAFOGO/RJ, ,GUARANI/SP,2,Domingo ,A,7,2
116,Concurso 9 (18/04/2002),5,1,CORINTHIANS/SP, ,VASCO DA GAMA/RJ,0,Domingo ,H,12,1
117,Concurso 9 (18/04/2002),6,2,PONTE PRETA/SP, ,PALMEIRAS/SP,1,Domingo ,H,7,5
118,Concurso 9 (18/04/2002),7,5,SÃO PAULO/SP, ,AMERICANO/RJ,3,Domingo ,H,15,0
119,Concurso 9 (18/04/2002),8,2,SÃO CAETANO/SP, ,FLUMINENSE/RJ,1,Domingo ,H,4,5
120,Concurso 9 (18/04/2002),9,1,CRUZEIRO/MG, ,TUBARÃO/SC,2,Domingo ,A,12,0
121,Concurso 9 (18/04/2002),10,6,GRÊMIO/RS, ,MAMORÉ/MG,1,Domingo ,H,10,0
122,Concurso 9 (18/04/2002),11,3,AMÉRICA/MG, ,ATLÉTICO/PR,4,Domingo ,A,4,4
123,Concurso 9 (18/04/2002),12,2,COMERCIAL/MS, ,GOIÁS/GO,3,Sábado ,A,0,4
124,Concurso 9 (18/04/2002),13,10,BAHIA/BA, ,CONFIANÇA/SE,2,Domingo ,H,5,0
125,Concurso 9 (18/04/2002),14,0,CSA/AL, ,VITÓRIA/BA,1,Domingo ,A,0,1
126,Concurso 10 (22/04/2002),1,0,MILAN/ITA, ,ROMA/ITA,0,Domingo ,D,0,0
127,Concurso 10 (22/04/2002),2,2,CHIEVO/ITA, ,INTERNAZIONALE/ITA,2,Domingo ,D,0,0
128,Concurso 10 (22/04/2002),3,0,PIACENZA/IT, ,JUVENTUS/ITA,1,Domingo ,A,0,0
129,Concurso 10 (22/04/2002),4,2,CELTA/ESP, ,BARCELONA/ESP,1,Domingo ,H,0,0
130,Concurso 10 (22/04/2002),5,1,VALENCIA/ESP, ,DEPORTIVO/ESP,0,Domingo ,H,0,0
131,Concurso 10 (22/04/2002),6,4,REAL MADRID/ESP, ,TENERIFE/ESP,1,Domingo ,H,0,0
132,Concurso 10 (22/04/2002),7,1,BOTAFOGO/SP, ,SANTO ANDRE/SP,1,Domingo ,D,0,0
133,Concurso 10 (22/04/2002),8,1,UNIÃO S.JOÃO/SP, ,BARBARENSE/SP,2,Sábado ,A,0,0
134,Concurso 10 (22/04/2002),9,1,AMÉRICA/SP, ,MOGI MIRIM/SP,1,Domingo ,D,0,0
135,Concurso 10 (22/04/2002),10,2,IRATY/PR, ,PORTUGUESA/PR,0,Domingo ,H,0,0
136,Concurso 10 (22/04/2002),11,0,LONDRINA/PR, ,GRÊMIO MARINGÁ/PR,1,Domingo ,A,0,0
137,Concurso 10 (22/04/2002),12,1,CFZ-BSB/DF, ,BRASILIA/DF,0,Domingo ,H,0,0
138,Concurso 10 (22/04/2002),13,2,VILA NOVA/MG, ,IPATINGA/MG,3,Domingo ,A,0,0
139,Concurso 10 (22/04/2002),14,1,ATLÉTICO/GO, ,ANAPOLINA/GO,2,Domingo ,A,0,0
140,Concurso 11 (29/04/2002),1,2,PALMEIRAS/SP, ,SÃO PAULO/SP,2,Sábado ,D,13,7
141,Concurso 11 (29/04/2002),2,3,VITÓRIA/BA, ,SANTA CRUZ/PE,0,Domingo ,H,14,2
142,Concurso 11 (29/04/2002),3,4,GOIÁS/GO, ,VILA NOVA/GO,3,Domingo ,H,12,1
143,Concurso 11 (29/04/2002),4,3,CORINTHIANS/SP, ,SÃO CAETANO/SP,1,Domingo ,H,13,7
144,Concurso 11 (29/04/2002),5,1,CRUZEIRO/MG, ,ATLÉTICO/MG,1,Domingo ,D,13,9
145,Concurso 11 (29/04/2002),6,1,ATLÉTICO/PR, ,GRÊMIO/RS,1,Sábado ,D,5,7
146,Concurso 11 (29/04/2002),7,1,BAHIA/BA, ,NÁUTICO/PE,0,Sábado ,H,15,3
147,Concurso 11 (29/04/2002),8,2,GAMA/DF, ,COMERCIAL/MS,2,Domingo ,D,4,0
148,Concurso 11 (29/04/2002),9,2,VALENCIA/ESP, ,ESPANYOL/ESP,1,Domingo ,H,1,0
149,Concurso 11 (29/04/2002),10,3,REAL SOCIEDAD/ESP, ,REAL MADRID/ESP,0,Domingo ,H,0,0
150,Concurso 11 (29/04/2002),11,2,DEPORTIVO/ESP, ,MÁLAGA/ESP,2,Domingo ,D,0,0
151,Concurso 11 (29/04/2002),12,1,VERONA/IT, ,MILAN/ITA,2,Domingo ,A,0,0
152,Concurso 11 (29/04/2002),13,5,ROMA/ITA, ,CHIEVO/ITA,0,Domingo ,H,0,0
153,Concurso 11 (29/04/2002),14,3,INTERNAZIONALE/ITA, ,PIACENZA/IT,1,Domingo ,H,0,0
154,Concurso 12 (06/05/2002),1,4,LAZIO/ITA, ,INTERNAZIONALE/ITA,2,Domingo ,H,0,2
155,Concurso 12 (06/05/2002),2,0,TORINO/ITA, ,ROMA/ITA,1,Domingo ,A,0,0
156,Concurso 12 (06/05/2002),3,0,UDINESE/IT, ,JUVENTUS/ITA,2,Domingo ,A,0,1
157,Concurso 12 (06/05/2002),4,0,MÁLAGA/ESP, ,VALENCIA/ESP,2,Domingo ,A,0,0
158,Concurso 12 (06/05/2002),5,2,BARCELONA/ESP, ,ESPANYOL/ESP,0,Domingo ,H,0,1
159,Concurso 12 (06/05/2002),6,0,BETIS/ESP, ,DEPORTIVO/ESP,3,Domingo ,A,0,0
160,Concurso 12 (06/05/2002),7,2,JUVENTUS/SP, ,AMÉRICA/SP,0,Sábado ,H,0,0
161,Concurso 12 (06/05/2002),8,0,ITUANO/SP, ,UNIÃO SÃO JOÃO/SP,1,Sábado ,A,0,0
162,Concurso 12 (06/05/2002),9,1,SANTO ANDRE/SP, ,INTER LIMEIRA/SP,2,Sábado ,A,0,0
163,Concurso 12 (06/05/2002),10,0,NOVO HORIZONTE/GO, ,ATLÉTICO/GO,1,Domingo ,A,0,0
164,Concurso 12 (06/05/2002),11,2,IPATINGA/MG, ,URT/MG,0,Domingo ,H,0,0
165,Concurso 12 (06/05/2002),12,1,IRATY/PR, ,U.BANDEIRANTE/PR,0,Domingo ,H,2,0
166,Concurso 12 (06/05/2002),13,1,RIO BRANCO/ES, ,SERRA/ES,2,Domingo ,A,0,0
167,Concurso 12 (06/05/2002),14,2,REMO/PA, ,PAYSANDU/PA,2,Domingo ,D,0,0
168,Concurso 13 (13/05/2002),1,1,CORINTHIANS/SP, ,SÃO PAULO/SP,1,Domingo ,D,16,9
169,Concurso 13 (13/05/2002),2,2,VITÓRIA/BA, ,BAHIA/BA,2,Domingo ,D,17,0
170,Concurso 13 (13/05/2002),3,1,CRUZEIRO/MG, ,ATLÉTICO/PR,0,Domingo ,H,14,8
171,Concurso 13 (13/05/2002),4,3,GOIÁS/GO, ,GAMA/DF,0,Sábado ,H,16,1
172,Concurso 13 (13/05/2002),5,1,DEPORTIVO/ESP, ,REAL MADRID/ESP,0,,H,2,0
173,Concurso 13 (13/05/2002),6,2,VALENCIA/ESP, ,BETIS/ESP,0,Sábado ,H,3,0
174,Concurso 13 (13/05/2002),7,1,ZARAGOZA/ESP, ,BARCELONA/ESP,1,Sábado ,D,0,1
175,Concurso 13 (13/05/2002),8,0,CSA/AL, ,CRB/AL,3,Domingo ,A,0,8
176,Concurso 13 (13/05/2002),9,3,SPORT RECIFE/PE, ,RECIFE/PE,1,Domingo ,H,3,0
177,Concurso 13 (13/05/2002),10,1,Ferroviário ST/PE, ,SANTA CRUZ/PE,3,Domingo ,A,0,2
178,Concurso 13 (13/05/2002),11,1,ANAPOLINA/GO, ,SANTA HELENA/GO,0,Domingo ,H,0,0
179,Concurso 13 (13/05/2002),12,0,AMÉRICA/SP, ,ITUANO/SP,1,Domingo ,A,1,0
180,Concurso 13 (13/05/2002),13,2,UNIÃO SÃO JOÃO/SP, ,MATONENSE/SP,1,Domingo ,H,0,0
181,Concurso 13 (13/05/2002),14,3,BOTAFOGO/SP, ,MOGI MIRIM/SP,2,Domingo ,H,1,1
182,Concurso 14 (20/05/2002),1,1,SELEÇÃO CATALUÑA/ESP, ,BRASIL,3,Sábado ,A,0,1
183,Concurso 14 (20/05/2002),2,6,ALEMANHA, ,ÁUSTRIA,2,Sábado ,H,0,0
184,Concurso 14 (20/05/2002),3,1,REP.TCHECA, ,ITÁLIA,0,Sábado ,H,0,0
185,Concurso 14 (20/05/2002),4,1,POLÔNIA, ,ESTÔNIA,0,Sábado ,H,0,0
186,Concurso 14 (20/05/2002),5,1,FRANÇA, ,BÉLGICA,2,Sábado ,A,0,0
187,Concurso 14 (20/05/2002),6,1,CORITIBA/PR, ,ATLÉTICO/PR,0,Domingo ,H,3,8
188,Concurso 14 (20/05/2002),7,0,TUBARÃO/SC, ,CRICIÚMA/SC,0,Domingo ,D,2,3
189,Concurso 14 (20/05/2002),8,0,JOINVILLE/SC, ,FIGUEIRENSE/SC,3,Domingo ,A,1,6
190,Concurso 14 (20/05/2002),9,0,TUNA LUSO/PA, ,PAYSANDU/PA,2,Domingo ,A,0,2
191,Concurso 14 (20/05/2002),10,1,CASTANHAL/PA, ,REMO/PA,1,Domingo ,D,0,0
192,Concurso 14 (20/05/2002),11,0,NOVA VENÉCIA/ES, ,SERRA/ES,1,Domingo ,A,0,2
193,Concurso 14 (20/05/2002),12,0,DESPORTIVA/ES, ,ALEGRENSE/ES,2,Domingo ,A,0,0
194,Concurso 14 (20/05/2002),13,2,SANTA CRUZ/PE, ,CENTRAL/PE,0,Sábado ,H,1,0
195,Concurso 14 (20/05/2002),14,0,SPORT RECIFE/PE, ,NÁUTICO/PE,0,Domingo ,D,6,3
196,Concurso 15 (27/05/2002),1,0,MALÁSIA, ,BRASIL,4,Sábado ,A,0,4
197,Concurso 15 (27/05/2002),2,2,INGLATERRA, ,CAMARÕES,2,Domingo ,D,0,0
198,Concurso 15 (27/05/2002),3,2,CORÉIA DO SUL, ,FRANÇA,3,Domingo ,A,0,0
199,Concurso 15 (27/05/2002),4,2,DINAMARCA, ,TUNISIA,1,Domingo ,H,0,0
200,Concurso 15 (27/05/2002),5,0,CHINA, ,PORTUGAL,2,Sábado ,A,0,0
201,Concurso 15 (27/05/2002),6,4,VITÓRIA/BA, ,BAHIA/BA,3,Domingo ,H,19,2
202,Concurso 15 (27/05/2002),7,1,CRUZEIRO/MG, ,ATLÉTICO/MG,0,Domingo ,H,15,10
203,Concurso 15 (27/05/2002),8,1,TUBARÃO/SC, ,FIGUEIRENSE/SC,2,Domingo ,A,2,9
204,Concurso 15 (27/05/2002),9,2,AVAÍ/SC, ,JOINVILLE/SC,1,Domingo ,H,0,2
205,Concurso 15 (27/05/2002),10,1,SÃO GABRIEL/RS, ,INTERNACIONAL/RS,3,Domingo ,A,0,3
206,Concurso 15 (27/05/2002),11,0,GUARANI V.A./RS, ,GRÊMIO/RS,1,Domingo ,A,0,8
207,Concurso 15 (27/05/2002),12,0,ASA/AL, ,CSA/AL,1,Domingo ,A,0,0
208,Concurso 15 (27/05/2002),13,2,PETROLINA/PE, ,SANTA CRUZ/PE,2,Domingo ,D,0,5
209,Concurso 15 (27/05/2002),14,0,DESPORTIVA/ES, ,RIO BRANCO/ES,1,Sábado ,A,0,0
210,Concurso 16 (06/06/2002),1,2,BRASIL, ,TURQUIA,1,Segunda-feira ,H,0,0
211,Concurso 16 (06/06/2002),2,1,ARGENTINA, ,NIGÉRIA,0,Domingo ,H,0,0
212,Concurso 16 (06/06/2002),3,1,INGLATERRA, ,SUÉCIA,1,Domingo ,D,2,0
213,Concurso 16 (06/06/2002),4,1,URUGUAI, ,DINAMARCA,2,Sábado ,A,0,0
214,Concurso 16 (06/06/2002),5,1,IRLANDA, ,CAMARÕES,1,Sábado ,D,0,2
215,Concurso 16 (06/06/2002),6,3,ESPANHA, ,ESLOVÊNIA,1,Domingo ,H,0,0
216,Concurso 16 (06/06/2002),7,2,PARAGUAI, ,AFRICA DO SUL,2,Domingo ,D,0,0
217,Concurso 16 (06/06/2002),8,2,CORÉIA DO SUL, ,POLÔNIA,0,Terça-feira ,H,2,0
218,Concurso 16 (06/06/2002),9,2,JAPÃO, ,BÉLGICA,2,Terça-feira ,D,0,2
219,Concurso 16 (06/06/2002),10,3,ESTADOS UNIDOS, ,PORTUGAL,2,Quarta-feira ,H,0,2
220,Concurso 16 (06/06/2002),11,2,RÚSSIA, ,TUNÍSIA,0,Quarta-feira ,H,0,0
221,Concurso 16 (06/06/2002),12,0,CROÁCIA, ,MÉXICO,1,Segunda-feira ,A,0,0
222,Concurso 16 (06/06/2002),13,8,ALEMANHA, ,ARÁBIA SAUDITA,0,Sábado ,H,6,0
223,Concurso 16 (06/06/2002),14,0,CHINA, ,COSTA RICA,2,Terça-feira ,A,0,0
224,Concurso 17 (11/06/2002),1,4,BRASIL, ,CHINA,0,Sábado ,H,2,0
225,Concurso 17 (11/06/2002),2,1,DINAMARCA, ,SENEGAL,1,Quinta-feira ,D,2,0
226,Concurso 17 (11/06/2002),3,1,ITÁLIA, ,CROÁCIA,2,Sábado ,A,1,0
227,Concurso 17 (11/06/2002),4,1,JAPÃO, ,RÚSSIA,0,Domingo ,H,2,0
228,Concurso 17 (11/06/2002),5,2,MÉXICO, ,EQUADOR,1,Domingo ,H,0,0
229,Concurso 17 (11/06/2002),6,1,AFRICA DO SUL, ,ESLOVÊNIA,0,Sábado ,H,0,1
230,Concurso 17 (11/06/2002),7,4,PORTUGAL, ,POLÔNIA,0,Segunda-feira ,H,1,0
231,Concurso 17 (11/06/2002),8,2,SUÉCIA, ,NIGÉRIA,1,Sexta-feira ,H,0,0
232,Concurso 17 (11/06/2002),9,0,ARGENTINA, ,INGLATERRA,1,Sexta-feira ,A,1,0
233,Concurso 17 (11/06/2002),10,1,CAMARÕES, ,ARÁBIA SAUDITA,0,Quinta-feira ,H,0,0
234,Concurso 17 (11/06/2002),11,0,FRANÇA, ,URUGUAI,0,Quinta-feira ,D,1,1
235,Concurso 17 (11/06/2002),12,1,CORÉIA DO SUL, ,ESTADOS UNIDOS,1,Segunda-feira ,D,4,0
